iter	RMSE
0	531.7147979
1	515.8277033
2	500.0745443
3	485.0165573
4	470.2666734
5	456.4089435
6	442.3828418
7	429.1781103
8	417.3228387
9	404.3903085
10	392.2207933
11	380.3976361
12	369.4028826
13	358.2843677
14	348.1246792
15	337.8287941
16	327.6001158
17	317.4900732
18	308.0942485
19	299.4212992
20	290.6863988
21	282.533192
22	274.3802034
23	266.3343083
24	258.8003025
25	252.0287256
26	244.8824073
27	237.4138259
28	230.7217978
29	224.2239955
30	217.8328049
31	211.7272898
32	205.7768372
33	199.8747593
34	194.3533602
35	188.8459662
36	183.3995843
37	178.335402
38	173.5532563
39	168.6239923
40	163.9406115
41	159.3893845
42	155.13742
43	150.9638673
44	146.8901653
45	143.1490294
46	139.3253701
47	135.5778936
48	132.1276636
49	128.7989879
50	125.3642497
51	122.0875694
52	118.8671568
53	115.7496796
54	112.8975897
55	110.1808076
56	107.4384207
57	104.7119361
58	102.2670363
59	99.85600758
60	97.44647389
61	95.04635383
62	92.90464391
63	90.71463479
64	88.48109851
65	86.64147907
66	84.59440341
67	82.69775721
68	80.84041453
69	78.92109053
70	77.27348996
71	75.57679683
72	73.84918846
73	72.16894332
74	70.58478387
75	69.05568833
76	67.68521707
77	66.32696382
78	64.89841066
79	63.61640868
80	62.26980838
81	60.98083488
82	59.65549019
83	58.48202014
84	57.21046095
85	56.15993625
86	55.06990836
87	54.0372
88	53.11880415
89	52.14034446
90	51.13641944
91	50.26181665
92	49.4409975
93	48.598372
94	47.7264451
95	46.87441041
96	46.14020498
97	45.37051843
98	44.64774834
99	44.02782862
100	43.28953762
101	42.56142198
102	41.89640222
103	41.29145192
104	40.66350298
105	40.12770628
106	39.57903326
107	38.99266637
108	38.48143934
109	37.94875479
110	37.44371224
111	37.0391505
112	36.53210149
113	36.08217454
114	35.69801633
115	35.27009581
116	34.86684198
117	34.45224541
118	34.0174478
119	33.67970985
120	33.32326236
121	32.98360626
122	32.72087078
123	32.42980161
124	32.09549412
125	31.80586124
